a	b	DFreq
0.030000	0.450000	0.001314
0.030000	0.460000	0.001301
0.030000	0.470000	0.001288
0.030000	0.480000	0.001276
0.030000	0.490000	0.001264
0.030000	0.500000	0.001252
0.030000	0.510000	0.001240
0.030000	0.520000	0.001229
0.030000	0.530000	0.001218
0.030000	0.540000	0.001207
0.030000	0.550000	0.001196
0.030000	0.560000	0.001185
0.030000	0.570000	0.001175
0.030000	0.580000	0.001165
0.030000	0.590000	0.001155
0.030000	0.600000	0.001145
0.030000	0.610000	0.001135
0.030000	0.620000	0.001125
0.030000	0.630000	0.001116
0.030000	0.640000	0.001107
0.030000	0.650000	0.001098
0.030000	0.660000	0.001089
0.030000	0.670000	0.001080
0.030000	0.680000	0.001071
0.030000	0.690000	0.001063
0.030000	0.700000	0.001054
0.030000	0.710000	0.001046
0.030000	0.720000	0.001038
0.030000	0.730000	0.001029
0.030000	0.740000	0.001021
0.030000	0.750000	0.001014
0.030000	0.760000	0.001006
0.030000	0.770000	0.000998
0.030000	0.780000	0.000991
0.030000	0.790000	0.000983
0.030000	0.800000	0.000976
0.030000	0.810000	0.000968
0.030000	0.820000	0.000961
0.030000	0.830000	0.000954
0.030000	0.840000	0.000947
0.030000	0.850000	0.000940
0.030000	0.860000	0.000933
0.030000	0.870000	0.000926
0.030000	0.880000	0.000920
0.030000	0.890000	0.000913
0.030000	0.900000	0.000907
0.030000	0.910000	0.000900
0.030000	0.920000	0.000894
0.030000	0.930000	0.000887
0.030000	0.940000	0.000881
0.030000	0.950000	0.000875
0.030000	0.960000	0.000869
0.030000	0.970000	0.000863
0.030000	0.980000	0.000857
0.030000	0.990000	0.000851
0.030000	1.000000	0.000845
0.040000	0.000000	0.003438
0.040000	0.010000	0.003195
0.040000	0.020000	0.003003
0.040000	0.030000	0.002847
0.040000	0.040000	0.002715
0.040000	0.050000	0.002603
0.040000	0.060000	0.002506
0.040000	0.070000	0.002419
0.040000	0.080000	0.002342
0.040000	0.090000	0.002273
0.040000	0.100000	0.002210
0.040000	0.110000	0.002152
0.040000	0.120000	0.002099
0.040000	0.130000	0.002050
0.040000	0.140000	0.002004
0.040000	0.150000	0.001961
0.040000	0.160000	0.001921
0.040000	0.170000	0.001884
0.040000	0.180000	0.001848
0.040000	0.190000	0.001814
0.040000	0.200000	0.001782
0.040000	0.210000	0.001752
0.040000	0.220000	0.001723
0.040000	0.230000	0.001695
0.040000	0.240000	0.001668
0.040000	0.250000	0.001643
0.040000	0.260000	0.001618
0.040000	0.270000	0.001595
0.040000	0.280000	0.001572
0.040000	0.290000	0.001551
0.040000	0.300000	0.001530
0.040000	0.310000	0.001509
0.040000	0.320000	0.001490
0.040000	0.330000	0.001471
0.040000	0.340000	0.001452
0.040000	0.350000	0.001434
0.040000	0.360000	0.001417
0.040000	0.370000	0.001400
0.040000	0.380000	0.001383
0.040000	0.390000	0.001367
0.040000	0.400000	0.001352
0.040000	0.410000	0.001337
0.040000	0.420000	0.001322
0.040000	0.430000	0.001308
0.040000	0.440000	0.001293
0.040000	0.450000	0.001280
0.040000	0.460000	0.001266
0.040000	0.470000	0.001253
0.040000	0.480000	0.001240
0.040000	0.490000	0.001228
0.040000	0.500000	0.001215
0.040000	0.510000	0.001203
0.040000	0.520000	0.001192
0.040000	0.530000	0.001180
0.040000	0.540000	0.001169
0.040000	0.550000	0.001158
0.040000	0.560000	0.001147
0.040000	0.570000	0.001136
0.040000	0.580000	0.001125
0.040000	0.590000	0.001115
0.040000	0.600000	0.001105
0.040000	0.610000	0.001095
0.040000	0.620000	0.001085
0.040000	0.630000	0.001076
0.040000	0.640000	0.001066
0.040000	0.650000	0.001057
0.040000	0.660000	0.001048
0.040000	0.670000	0.001039
0.040000	0.680000	0.001030
0.040000	0.690000	0.001021
0.040000	0.700000	0.001012
0.040000	0.710000	0.001004
0.040000	0.720000	0.000995
0.040000	0.730000	0.000987
0.040000	0.740000	0.000979
