Time	Coop	Chea
20.960480	2.422791	1.832840
21.010505	2.562961	1.938879
21.060530	2.704535	2.045979
21.110555	2.846817	2.153615
21.160580	2.989097	2.261250
21.210605	3.130667	2.368348
21.260630	3.270832	2.474382
21.310655	3.408924	2.578848
21.360680	3.544315	2.681271
21.410705	3.676429	2.781215
21.460730	3.804748	2.878288
21.510755	3.928820	2.972149
21.560780	4.048265	3.062509
21.610805	4.162773	3.149134
21.660830	4.272108	3.231846
21.710855	4.376104	3.310518
21.760880	4.474659	3.385075
21.810905	4.567736	3.455487
21.860930	4.655352	3.521768
21.910955	4.737573	3.583969
21.960980	4.814510	3.642172
22.011006	4.886308	3.696486
22.061031	4.953140	3.747045
22.111056	5.015204	3.793996
22.161081	5.072716	3.837503
22.211106	5.125900	3.877737
22.261131	5.174991	3.914874
22.311156	5.220225	3.949094
22.361181	5.261839	3.980575
22.411206	5.300068	4.009495
22.461231	5.335138	4.036026
22.511256	5.367272	4.060335
22.561281	5.396682	4.082583
22.611306	5.423571	4.102925
22.661331	5.448132	4.121505
22.711356	5.470547	4.138462
22.761381	5.490987	4.153925
22.811406	5.509614	4.168016
22.861431	5.526576	4.180848
22.911456	5.542014	4.192526
22.961481	5.556056	4.203149
23.011506	5.568823	4.212807
23.061531	5.580425	4.221584
23.111556	5.590964	4.229557
23.161581	5.600534	4.236797
23.211606	5.609221	4.243369
23.261631	5.617105	4.249332
23.311656	5.624256	4.254743
23.361681	5.630743	4.259650
23.411706	5.636625	4.264100
23.461731	5.641958	4.268134
23.511756	5.646792	4.271791
23.561781	5.651172	4.275104
23.611806	5.655141	4.278107
23.661831	5.658738	4.280828
23.711856	5.661996	4.283292
23.761881	5.664946	4.285525
23.811906	5.667619	4.287547
23.861931	5.670039	4.289377
23.911956	5.672231	4.291035
23.961981	5.674215	4.292537
24.012006	0.567422	0.429254
24.062031	0.620620	0.469498
24.112056	0.678147	0.513017
24.162081	0.740228	0.559981
24.212106	0.807077	0.610552
24.262131	0.878892	0.664880
24.312156	0.955847	0.723097
24.362181	1.038087	0.785311
24.412206	1.125722	0.851607
24.462231	1.218818	0.922034
24.512256	1.317392	0.996605
24.562281	1.421406	1.075291
24.612306	1.530760	1.158017
24.662331	1.645286	1.244656
24.712356	1.764747	1.335028
24.762381	1.888836	1.428901
24.812406	2.017169	1.525984
24.862431	2.149295	1.625937
24.912456	2.284697	1.728369
24.962481	2.422797	1.832841
25.012506	2.562968	1.938880
25.062531	2.704542	2.045980
25.112556	2.846824	2.153616
25.162581	2.989104	2.261251
25.212606	3.130674	2.368349
25.262631	3.270839	2.474383
25.312656	3.408931	2.578849
25.362681	3.544322	2.681272
25.412706	3.676436	2.781216
25.462731	3.804755	2.878289
25.512756	3.928827	2.972150
25.562781	4.048272	3.062509
25.612806	4.162780	3.149135
25.662831	4.272115	3.231846
25.712856	4.376110	3.310518
25.762881	4.474665	3.385075
25.812906	4.567742	3.455487
25.862931	4.655358	3.521768
25.912956	4.737579	3.583969
25.962981	4.814516	3.642171
26.013007	4.886313	3.696486
26.063032	4.953145	3.747044
26.113057	5.015210	3.793996
26.163082	5.072721	3.837502
26.213107	5.125905	3.877736
26.263132	5.174995	3.914873
26.313157	5.220229	3.949092
26.363182	5.261844	3.980574
26.413207	5.300072	4.009493
26.463232	5.335142	4.036024
26.513257	5.367276	4.060333
26.563282	5.396686	4.082582
26.613307	5.423575	4.102923
26.663332	5.448136	4.121503
26.713357	5.470551	4.138460
26.763382	5.490991	4.153923
26.813407	5.509617	4.168014
26.863432	5.526580	4.180846
26.913457	5.542017	4.192524
26.963482	5.556059	4.203147
27.013507	5.568826	4.212805
27.063532	5.580428	4.221582
27.113557	5.590967	4.229555
27.163582	5.600537	4.236794
27.213607	5.609224	4.243366
27.263632	5.617108	4.249330
27.313657	5.624260	4.254740
27.363682	5.630746	4.259648
27.413707	5.636628	4.264097
27.463732	5.641961	4.268131
27.513757	5.646795	4.271788
27.563782	5.651175	4.275102
27.613807	5.655144	4.278105
27.663832	5.658741	4.280825
27.713857	5.661998	4.283290
27.763882	5.664949	4.285522
27.813907	5.667622	4.287544
27.863932	5.670042	4.289375
27.913957	5.672234	4.291033
27.963982	5.674218	4.292534
28.014007	0.567422	0.429253
28.064032	0.620621	0.469498
28.114057	0.678147	0.513017
28.164082	0.740228	0.559981
28.214107	0.807077	0.610552
28.264132	0.878892	0.664880
28.314157	0.955848	0.723097
28.364182	1.038088	0.785311
28.414207	1.125723	0.851607
28.464232	1.218819	0.922034
28.514257	1.317393	0.996605
28.564282	1.421407	1.075291
28.614307	1.530760	1.158017
28.664332	1.645287	1.244656
28.714357	1.764748	1.335028
28.764382	1.888836	1.428901
28.814407	2.017170	1.525984
28.864432	2.149296	1.625938
28.914457	2.284698	1.728369
28.964482	2.422798	1.832841
29.014507	2.562969	1.938880
29.064532	2.704543	2.045981
