a	b	DFreq	DRel	MRel
0.030000	0.580000	0.000187	0.000073	1.000810
0.030000	0.590000	0.000217	0.000082	1.000941
0.030000	0.600000	0.000252	0.000092	1.001099
0.030000	0.610000	0.000295	0.000103	1.001287
0.030000	0.620000	0.000346	0.000115	1.001514
0.030000	0.630000	0.000407	0.000128	1.001787
0.030000	0.640000	0.000480	0.000142	1.002114
0.030000	0.650000	0.000567	0.000157	1.002504
0.030000	0.660000	0.000668	0.000171	1.002965
0.030000	0.670000	0.000784	0.000185	1.003501
0.030000	0.680000	0.000914	0.000195	1.004108
0.030000	0.690000	0.001052	0.000201	1.004765
0.030000	0.700000	0.001185	0.000200	1.005426
0.030000	0.710000	0.001293	0.000190	1.006002
0.030000	0.720000	0.001346	0.000173	1.006356
0.030000	0.730000	0.001310	0.000152	1.006329
0.030000	0.740000	0.001166	0.000194	1.005814
0.030000	0.750000	0.000931	0.000452	1.004878
0.030000	0.760000	0.000664	0.000863	1.003773
0.030000	0.770000	0.000426	0.001270	1.002738
0.030000	0.780000	0.000248	0.001462	1.001868
0.030000	0.790000	0.000131	0.001412	1.001205
0.030000	0.800000	0.000069	0.001232	1.000755
0.030000	0.810000	0.000039	0.001027	1.000481
0.030000	0.820000	0.000024	0.000843	1.000323
0.030000	0.830000	0.000017	0.000692	1.000231
0.030000	0.840000	0.000012	0.000573	1.000175
0.030000	0.850000	0.000010	0.000479	1.000139
0.030000	0.860000	0.000008	0.000404	1.000113
0.030000	0.870000	0.000006	0.000345	1.000094
0.030000	0.880000	0.000005	0.000297	1.000080
0.030000	0.890000	0.000005	0.000258	1.000068
0.030000	0.900000	0.000004	0.000226	1.000059
0.030000	0.910000	0.000004	0.000199	1.000051
0.030000	0.920000	0.000003	0.000177	1.000045
0.030000	0.930000	0.000003	0.000158	1.000040
0.030000	0.940000	0.000002	0.000142	1.000035
0.030000	0.950000	0.000002	0.000128	1.000032
0.030000	0.960000	0.000002	0.000116	1.000028
0.030000	0.970000	0.000002	0.000105	1.000026
0.030000	0.980000	0.000002	0.000096	1.000023
0.030000	0.990000	0.000001	0.000088	1.000021
0.030000	1.000000	0.000001	0.000081	1.000019
0.040000	0.000000	0.000003	0.000002	1.000013
0.040000	0.010000	0.000003	0.000002	1.000013
0.040000	0.020000	0.000003	0.000002	1.000014
0.040000	0.030000	0.000003	0.000002	1.000014
0.040000	0.040000	0.000004	0.000003	1.000015
0.040000	0.050000	0.000004	0.000003	1.000015
0.040000	0.060000	0.000004	0.000003	1.000016
0.040000	0.070000	0.000004	0.000003	1.000016
0.040000	0.080000	0.000004	0.000003	1.000017
0.040000	0.090000	0.000004	0.000003	1.000018
0.040000	0.100000	0.000004	0.000003	1.000018
0.040000	0.110000	0.000005	0.000003	1.000019
0.040000	0.120000	0.000005	0.000003	1.000020
0.040000	0.130000	0.000005	0.000004	1.000021
0.040000	0.140000	0.000005	0.000004	1.000022
0.040000	0.150000	0.000005	0.000004	1.000023
0.040000	0.160000	0.000006	0.000004	1.000024
0.040000	0.170000	0.000006	0.000004	1.000025
0.040000	0.180000	0.000006	0.000004	1.000026
0.040000	0.190000	0.000007	0.000004	1.000028
0.040000	0.200000	0.000007	0.000005	1.000029
0.040000	0.210000	0.000007	0.000005	1.000031
0.040000	0.220000	0.000008	0.000005	1.000032
0.040000	0.230000	0.000008	0.000005	1.000034
0.040000	0.240000	0.000009	0.000006	1.000036
0.040000	0.250000	0.000009	0.000006	1.000038
